,time,tweet
0,2021-07-07T18:48:11.000Z,Supersonic shock wave
1,2021-07-07T18:46:53.000Z,https://t.co/O3BGaFuMDO
2,2021-07-07T16:58:11.000Z,High res landing Falcon landing video https://t.co/8CPuH87JYv
3,2021-07-06T22:09:32.000Z,https://t.co/TQZ9QvcwH1
4,2021-07-05T07:12:04.000Z,Free Britney
5,2021-07-04T18:06:48.000Z,Happy 4th to all!
6,2021-07-04T17:59:19.000Z,Bless America https://t.co/QNagk4PArb
7,2021-07-03T21:23:23.000Z,New SpaceX Starlink cover shows transfer orbit from Earth to Mars https://t.co/vwWeuhWCoP
8,2021-07-02T13:20:14.000Z,https://t.co/oGKHhHROQa dogecoin polytopia going up
9,2021-07-02T13:09:28.000Z,"Congrats Tesla Team on over 200,000 car built &amp; delivered in Q2, despite many challenges!!"
10,2021-07-02T09:03:21.000Z,https://t.co/g9F1p0bpr8
11,2021-07-01T18:44:25.000Z,Super Heavy on road &amp; 7th Tower segment added https://t.co/SJIHA3BLhL
12,2021-07-01T09:57:18.000Z,Super Heavy moves tomorrow https://t.co/qHG1SYO46S
13,2021-07-01T09:24:21.000Z,"Baby Doge, doo, doo, doo, doo, doo,
Baby Doge, doo, doo, doo, doo, doo,
Baby Doge, doo, doo, doo, doo, doo,
Baby Doge"
14,2021-07-01T08:43:41.000Z,Release the Doge! https://t.co/9bXCWQLIhu you come to me at runtime to tell me the code you are executing does not compile
15,2021-07-01T08:42:11.000Z,Stop gendering memes … I mean mimes
16,2021-06-30T20:11:10.000Z,"Rapidly Reusable Rockets, R R R 🏴‍☠️"
17,2021-06-28T20:25:03.000Z,Thanks for all the happy birthday wishes!
18,2021-06-27T14:11:23.000Z,https://t.co/HStnXM0zmn
19,2021-06-25T22:58:58.000Z,"All 72 orbital planes activate in August, plus many other improvements, enabling global coverage, except for polar regions, which will take another 6 months"
20,2021-06-25T22:51:28.000Z,"Starlink simultaneously active users just exceeded the strategically important threshold of 69,420 last night!"
21,2021-06-25T11:03:04.000Z,My Shiba Inu will be named Floki
22,2021-06-25T10:42:24.000Z,Timing is everything https://t.co/B6HDB5kS4G
23,2021-06-25T02:11:52.000Z,“That’s not funny!” – Bitcoin maxis
24,2021-06-25T02:10:31.000Z,How many Bitcoin maxis does it take to screw in a lightbulb?
25,2021-06-24T01:10:10.000Z,Shout out to the awesome Tesla global team. Thanks for working so hard to make Tesla successful!
